weight_varied,rule_based,rag_llm,vit5_ft
0.01,0.2449,0.886,0.564
0.036,0.2436,0.8867,0.5581
0.062,0.2406,0.8883,0.5456
0.087,0.2359,0.8908,0.5271
0.113,0.2296,0.8941,0.5041
0.139,0.2217,0.8982,0.4782
0.165,0.2126,0.9029,0.4507
0.191,0.2025,0.9081,0.4229
0.216,0.1918,0.9135,0.3954
0.242,0.1807,0.919,0.3688
0.268,0.1694,0.9246,0.3434
0.294,0.1583,0.93,0.3193
0.319,0.1475,0.9352,0.2966
0.345,0.137,0.9402,0.2752
0.371,0.127,0.9449,0.2551
0.397,0.1174,0.9493,0.2362
0.423,0.1084,0.9535,0.2186
0.448,0.0999,0.9574,0.202
0.474,0.0918,0.961,0.1864
0.5,0.0843,0.9644,0.1718
